run_id,user,session_file,bin,method,n_candidates_kept,pearson
,G,231019_userG_tripod_01_0.csv,27,phase,129,0.9205903428361183
,G,231019_userG_tripod_01_1.csv,27,phase,116,0.9654819828725074
,G,231019_userG_tripod_01_2.csv,26,phase,122,0.9308821094649554
,G,231019_userG_tripod_01_3.csv,26,phase,118,0.9703684846729416
,G,231019_userG_tripod_01_4.csv,27,phase,139,0.9879410593904029
,G,231019_userG_tripod_01_5.csv,27,phase,118,0.9754658099048445
,G,231019_userG_tripod_01_6.csv,23,abs,120,0.9715275657732777
,G,231019_userG_tripod_01_7.csv,27,phase,114,0.9380321767785926
,G,231026_userG_tripod_01_1.csv,49,phase,126,0.9200459887526162
,G,231026_userG_tripod_01_2.csv,49,phase,119,0.9723852817272557
,G,231026_userG_tripod_01_3.csv,50,phase,102,0.9539779267366361
,G,231026_userG_tripod_01_4.csv,29,phase,99,0.9492035592203376
,G,231026_userG_tripod_01_5.csv,48,phase,112,0.9656343717074212
,G,231026_userG_tripod_01_6.csv,48,phase,123,0.9391902693324284
,G,231026_userG_tripod_01_7.csv,49,phase,115,0.9597783424125105
,G,231026_userG_tripod_02_1.csv,49,phase,116,0.974127577914023
,G,231026_userG_tripod_02_2.csv,26,phase,103,0.9156025972041384
,G,231026_userG_tripod_02_3.csv,27,phase,105,0.9455586621502614
,G,231026_userG_tripod_02_4.csv,27,phase,117,0.986674675446105
,G,231026_userG_tripod_02_5.csv,27,phase,129,0.9808289170608495
,G,231026_userG_tripod_02_6.csv,48,phase,109,0.9575234388801348
,G,231026_userG_tripod_02_7.csv,50,phase,135,0.9788327202929368
,G,240403_userG_tripod_01_0.csv,51,phase,137,0.9098414091102832
,G,240403_userG_tripod_01_1.csv,23,abs,119,0.909147656576038
,G,240403_userG_tripod_01_2.csv,24,abs,125,0.9088969972293803
,G,240403_userG_tripod_01_3.csv,26,phase,113,0.9144493946162234
,G,240403_userG_tripod_01_4.csv,24,abs,130,0.9588445707966626
,G,240403_userG_tripod_01_5.csv,25,phase,120,0.9582389432949618
,G,240403_userG_tripod_01_6.csv,26,phase,116,0.9378368661089252
,G,240403_userG_tripod_01_7.csv,24,abs,128,0.9738428292138058
,G,240403_userG_tripod_02_0.csv,24,abs,135,0.750387689270917
,G,240403_userG_tripod_02_1.csv,28,abs,131,0.8868507912289944
,G,240403_userG_tripod_02_2.csv,28,abs,123,0.9440315170431456
,G,240403_userG_tripod_02_3.csv,28,abs,103,0.9568832189506122
,G,240403_userG_tripod_02_4.csv,24,phase,121,0.9187315089769906
,G,240403_userG_tripod_02_5.csv,24,phase,119,0.891054781826187
,G,240403_userG_tripod_02_6.csv,24,phase,109,0.89279694043122
,G,240403_userG_tripod_02_7.csv,24,phase,99,0.8789579235920246
,G,240403_userG_tripod_03_0.csv,49,abs,115,0.8728658561008638
,G,240403_userG_tripod_03_1.csv,50,phase,123,0.9094291474808259
,G,240403_userG_tripod_03_2.csv,23,phase,108,0.9438100426172608
,G,240403_userG_tripod_03_3.csv,24,phase,105,0.934761973336999
,G,240403_userG_tripod_03_4.csv,64,abs,109,0.9616185801999404
,G,240403_userG_tripod_03_5.csv,24,phase,106,0.881535075776689
,G,240403_userG_tripod_03_6.csv,24,phase,111,0.9602788894727505
,G,240403_userG_tripod_03_7.csv,24,phase,116,0.9610132605518372
,G,240403_userG_tripod_04_0.csv,28,phase,127,0.8588022178720011
,G,240403_userG_tripod_04_1.csv,29,phase,130,0.9316453379291387
,G,240403_userG_tripod_04_2.csv,26,abs,125,0.9668405396178711
,G,240403_userG_tripod_04_3.csv,28,abs,124,0.9573023714719415
,G,240403_userG_tripod_04_4.csv,29,abs,108,0.9854567202786484
,G,240403_userG_tripod_04_5.csv,28,abs,117,0.9790246744024659
,G,240403_userG_tripod_04_6.csv,50,phase,109,0.9309557174781049
,G,240403_userG_tripod_04_7.csv,28,abs,98,0.9847567318694675
,G,240403_userG_tripod_05_0.csv,28,abs,131,0.9088294771043377
,G,240403_userG_tripod_05_1.csv,27,abs,128,0.870780940235115
,G,240403_userG_tripod_05_2.csv,27,abs,120,0.9612585873189435
,G,240403_userG_tripod_05_3.csv,26,abs,118,0.843741930321761
,G,240403_userG_tripod_05_4.csv,28,abs,123,0.9492963943896612
,G,240403_userG_tripod_05_5.csv,28,abs,106,0.9655597478994699
,G,240403_userG_tripod_05_6.csv,28,abs,141,0.9630440052587455
,G,240403_userG_tripod_05_7.csv,28,abs,130,0.9384985586221948
,G,240409_userG_tripod_01_0.csv,26,abs,116,0.9545602084056236
,G,240409_userG_tripod_01_1.csv,25,abs,132,0.922756782852264
,G,240409_userG_tripod_01_2.csv,45,abs,142,0.9519365459841836
,G,240409_userG_tripod_01_3.csv,44,abs,124,0.9141097711610062
,G,240409_userG_tripod_01_4.csv,25,phase,138,0.9334099503976694
,G,240409_userG_tripod_01_5.csv,26,phase,116,0.9523746726360802
,G,240409_userG_tripod_01_6.csv,26,phase,144,0.9583905546900695
,G,240409_userG_tripod_01_7.csv,26,phase,128,0.9664071567891774
,G,240409_userG_tripod_02_0.csv,24,phase,126,0.5268935502745611
,G,240409_userG_tripod_02_1.csv,24,phase,148,0.8854653051758651
,G,240409_userG_tripod_02_2.csv,24,phase,150,0.9465295301547366
,G,240409_userG_tripod_02_3.csv,24,phase,142,0.9707393405930599
,G,240409_userG_tripod_02_4.csv,24,phase,167,0.9508758951103261
,G,240409_userG_tripod_02_5.csv,26,abs,138,0.9731397956247686
,G,240409_userG_tripod_02_6.csv,27,abs,164,0.9738031898194335
,G,240409_userG_tripod_02_7.csv,25,abs,156,0.9328081114670572
,G,240409_userG_tripod_03_0.csv,44,abs,126,0.7798327963942316
,G,240409_userG_tripod_03_1.csv,28,phase,132,0.9122328484825711
,G,240409_userG_tripod_03_2.csv,25,phase,134,0.8933459046855055
,G,240409_userG_tripod_03_3.csv,25,phase,134,0.9166553166821704
,G,240409_userG_tripod_03_4.csv,27,abs,111,0.5646298778779132
,G,240409_userG_tripod_03_5.csv,27,phase,124,0.942354299035326
,G,240409_userG_tripod_03_6.csv,49,abs,125,0.8680287002700288
,G,240409_userG_tripod_03_7.csv,27,abs,150,0.9093231405725429
,G,240409_userG_tripod_04_0.csv,27,abs,159,0.8667988670074146
,G,240409_userG_tripod_04_1.csv,49,abs,128,0.8930803062810652
,G,240409_userG_tripod_04_2.csv,26,abs,157,0.6847831973043932
,G,240409_userG_tripod_04_3.csv,49,abs,139,0.7823718705731898
,G,240409_userG_tripod_04_4.csv,49,abs,140,0.6912121405448824
,G,240409_userG_tripod_04_5.csv,27,phase,130,0.799024743149633
,G,240409_userG_tripod_04_6.csv,25,abs,134,0.8548353287043766
