run_id,user,session_file,bin,method,n_candidates_kept,pearson
,G,240409_userG_tripod_02_3.csv,24,phase,,0.9707393405930599
,G,240412_userG_tripod_04_1.csv,25,phase,,0.9673463338953673
,G,240409_userG_tripod_05_3.csv,25,phase,,0.9282464336994667
,G,240403_userG_tripod_03_4.csv,23,phase,,0.9528589415689257
,G,240412_userG_tripod_03_0.csv,27,abs,,0.9745076353930212
,G,240412_userG_tripod_01_6.csv,23,abs,,0.9110260860177245
,G,240409_userG_tripod_04_3.csv,25,abs,,0.8239903238406746
,G,240412_userG_tripod_02_0.csv,28,abs,,0.9582735572961613
,G,231026_userG_tripod_01_3.csv,49,phase,,0.9503721523946662
,G,240409_userG_tripod_01_2.csv,44,abs,,0.9427491955463283
,G,240403_userG_tripod_03_1.csv,49,abs,,0.9466915862691214
,G,240412_userG_tripod_04_5.csv,24,phase,,0.9445625589345523
,G,240412_userG_tripod_01_1.csv,24,abs,,0.9697089664060937
,G,240409_userG_tripod_02_6.csv,25,abs,,0.9823023314691832
,G,240409_userG_tripod_03_0.csv,49,abs,,0.8193265916732808
,G,231026_userG_tripod_01_1.csv,49,phase,,0.9200459887526162
,G,231019_userG_tripod_01_4.csv,26,phase,,0.9720823255081493
,G,240403_userG_tripod_01_4.csv,24,abs,,0.9588445707966626
,G,240409_userG_tripod_03_5.csv,28,phase,,0.8963421859617619
,G,240403_userG_tripod_01_7.csv,24,abs,,0.9738428292138058
,G,240412_userG_tripod_01_7.csv,24,abs,,0.933396862599862
,G,231026_userG_tripod_01_6.csv,49,phase,,0.9640179424226699
,G,240403_userG_tripod_01_1.csv,23,abs,,0.909147656576038
,G,240403_userG_tripod_03_6.csv,49,abs,,0.9623396560389013
,G,240409_userG_tripod_03_6.csv,45,abs,,0.9233482622704532
,G,240409_userG_tripod_03_1.csv,27,phase,,0.9300228970116211
,G,231026_userG_tripod_02_6.csv,27,phase,,0.9792345545232997
,G,231019_userG_tripod_01_1.csv,26,phase,,0.956654329872659
,G,240409_userG_tripod_05_6.csv,25,phase,,0.9666762425295521
,G,231019_userG_tripod_01_3.csv,27,phase,,0.9757562837004746
,G,240412_userG_tripod_02_5.csv,44,phase,,0.9479522727330679
,G,240412_userG_tripod_03_4.csv,24,phase,,0.9822518656991953
,G,240412_userG_tripod_04_7.csv,24,phase,,0.9434979698434246
,G,240403_userG_tripod_04_3.csv,28,abs,,0.9573023714719415
,G,240409_userG_tripod_01_3.csv,44,abs,,0.9141097711610062
,G,240409_userG_tripod_02_7.csv,25,abs,,0.9328081114670572
,G,231026_userG_tripod_01_7.csv,49,phase,,0.9597783424125105
,G,240409_userG_tripod_03_3.csv,26,abs,,0.9072735359705697
,G,240412_userG_tripod_03_1.csv,25,phase,,0.9813952121715709
,G,240403_userG_tripod_05_4.csv,29,abs,,0.9779568745887165
,G,231019_userG_tripod_01_2.csv,26,phase,,0.9308821094649554
,G,231026_userG_tripod_01_5.csv,49,phase,,0.9697464194233831
,G,240409_userG_tripod_03_2.csv,27,phase,,0.8878837125171821
,G,240403_userG_tripod_02_2.csv,27,abs,,0.9400431794041428
,G,240409_userG_tripod_01_7.csv,26,phase,,0.9664071567891774
,G,240409_userG_tripod_05_5.csv,25,phase,,0.9632097043560166
,G,231026_userG_tripod_02_2.csv,27,phase,,0.9378670788832547
,G,231026_userG_tripod_02_1.csv,50,phase,,0.9787590109453186
,G,240403_userG_tripod_02_5.csv,24,phase,,0.891054781826187
