run_id,user,session_file,bin,method,n_candidates_kept,pearson
,G,231019_userG_tripod_01_0.csv,27,phase,129,0.9205903435094263
,G,231019_userG_tripod_01_1.csv,27,phase,116,0.9654819817100165
,G,231019_userG_tripod_01_2.csv,26,phase,122,0.9308821141227321
,G,231019_userG_tripod_01_3.csv,26,phase,118,0.970368487844664
,G,231019_userG_tripod_01_4.csv,25,abs,139,0.7847723321513018
,G,231019_userG_tripod_01_5.csv,27,phase,118,0.9754658119485375
,G,231019_userG_tripod_01_6.csv,23,abs,120,0.9715275657732784
,G,231019_userG_tripod_01_7.csv,26,phase,114,0.8986884265514514
,G,231026_userG_tripod_01_1.csv,48,phase,126,0.898229823460563
,G,231026_userG_tripod_01_2.csv,49,phase,119,0.9723852819894335
,G,231026_userG_tripod_01_3.csv,49,phase,102,0.950372171555483
,G,231026_userG_tripod_01_4.csv,29,phase,99,0.9492035571485478
,G,231026_userG_tripod_01_5.csv,48,phase,112,0.9656343750167098
,G,231026_userG_tripod_01_6.csv,49,phase,123,0.9640179368918049
,G,231026_userG_tripod_01_7.csv,49,phase,115,0.9597783450173459
,G,231026_userG_tripod_02_1.csv,48,phase,116,0.968070335243635
,G,231026_userG_tripod_02_2.csv,27,phase,103,0.9378670772166073
,G,231026_userG_tripod_02_3.csv,48,phase,105,0.971676271506713
,G,231026_userG_tripod_02_4.csv,49,phase,117,0.95021188209726
,G,231026_userG_tripod_02_5.csv,48,phase,129,0.95593786429052
,G,231026_userG_tripod_02_6.csv,48,phase,109,0.9575234356722694
,G,231026_userG_tripod_02_7.csv,50,phase,135,0.9788327103613601
,G,240403_userG_tripod_01_0.csv,48,abs,137,0.7863106368214792
,G,240403_userG_tripod_01_1.csv,23,abs,119,0.9091476565760372
,G,240403_userG_tripod_01_2.csv,25,phase,125,0.9299816254111695
,G,240403_userG_tripod_01_3.csv,26,phase,113,0.9144494031243484
,G,240403_userG_tripod_01_4.csv,26,phase,130,0.9440251841396236
,G,240403_userG_tripod_01_5.csv,24,abs,120,0.9601204984737133
,G,240403_userG_tripod_01_6.csv,25,phase,116,0.9607900401223081
,G,240403_userG_tripod_01_7.csv,25,phase,128,0.942712151977702
,G,240403_userG_tripod_02_0.csv,25,abs,135,0.8891337852581022
,G,240403_userG_tripod_02_1.csv,28,abs,131,0.8868507912289935
,G,240403_userG_tripod_02_2.csv,27,abs,123,0.9400431794041431
,G,240403_userG_tripod_02_3.csv,28,abs,103,0.9568832189506125
,G,240403_userG_tripod_02_4.csv,24,phase,121,0.9187315109559606
,G,240403_userG_tripod_02_5.csv,24,phase,119,0.8910547836460874
,G,240403_userG_tripod_02_6.csv,24,phase,109,0.8927969368851254
,G,240403_userG_tripod_02_7.csv,24,phase,99,0.8789579303864818
,G,240403_userG_tripod_03_0.csv,49,abs,115,0.8728658561008636
,G,240403_userG_tripod_03_1.csv,49,abs,123,0.9466915862691213
,G,240403_userG_tripod_03_2.csv,64,abs,108,0.9314215677071244
,G,240403_userG_tripod_03_3.csv,24,phase,105,0.9347619827249746
,G,240403_userG_tripod_03_4.csv,23,phase,109,0.9528589416817056
,G,240403_userG_tripod_03_5.csv,24,phase,106,0.8815350786150357
,G,240403_userG_tripod_03_6.csv,49,abs,111,0.9623396560389008
,G,240403_userG_tripod_03_7.csv,24,phase,116,0.9610132626683211
,G,240403_userG_tripod_04_0.csv,29,abs,127,0.9294163965400619
,G,240403_userG_tripod_04_1.csv,29,phase,130,0.9316453444603843
,G,240403_userG_tripod_04_2.csv,28,abs,125,0.9596245845113572
,G,240403_userG_tripod_04_3.csv,28,abs,124,0.9573023714719415
,G,240403_userG_tripod_04_4.csv,49,abs,108,0.9426530969922973
,G,240403_userG_tripod_04_5.csv,28,abs,117,0.9790246744024663
,G,240403_userG_tripod_04_6.csv,29,abs,109,0.9782544276078041
,G,240403_userG_tripod_04_7.csv,50,phase,98,0.9427033644688672
,G,240403_userG_tripod_05_0.csv,28,abs,131,0.9088294771043376
,G,240403_userG_tripod_05_1.csv,27,abs,128,0.8707809402351148
,G,240403_userG_tripod_05_2.csv,26,abs,120,0.9651116248199056
,G,240403_userG_tripod_05_3.csv,28,abs,118,0.9217059232284367
,G,240403_userG_tripod_05_4.csv,29,abs,123,0.9779568745887165
,G,240403_userG_tripod_05_5.csv,28,abs,106,0.9655597478994706
,G,240403_userG_tripod_05_6.csv,28,abs,141,0.9630440052587451
,G,240403_userG_tripod_05_7.csv,28,abs,130,0.9384985586221938
,G,240409_userG_tripod_01_0.csv,25,abs,116,0.9586488349496267
,G,240409_userG_tripod_01_1.csv,25,abs,132,0.9227567828522645
