epoch,train_mse,train_pearson,train_loss,val_mse,val_pearson,minutes
0,0.043388892770641015,0.4628952143023179,0.043388892770641015,,,0.8
1,0.021303296791634733,0.5647340037765908,0.021303296791634733,,,1.58
2,0.020036137233816892,0.5901253412892634,0.020036137233816892,,,2.38
3,0.01924916722275851,0.6033932380361957,0.01924916722275851,,,3.23
4,0.018699755306466826,0.6111150003178025,0.018699755306466826,,,4.07
5,0.01826302523832242,0.615348196226434,0.01826302523832242,,,4.91
6,0.017869461066963882,0.6206871323127855,0.017869461066963882,,,5.75
7,0.01754974249771144,0.6241788067213562,0.01754974249771144,,,6.56
8,0.017279666363578052,0.6277532930920413,0.017279666363578052,,,7.34
9,0.017040567840097262,0.6316253969410803,0.017040567840097262,,,8.13
10,0.01684603438915047,0.6336874630860903,0.01684603438915047,,,8.92
11,0.01662900160550566,0.6374283069390421,0.01662900160550566,,,9.72
12,0.016452207612109936,0.6393769344923327,0.016452207612109936,,,10.51
13,0.016281434194831104,0.6423765407100639,0.016281434194831104,,,11.3
14,0.016125156052119845,0.643658559337734,0.016125156052119845,,,12.09
15,0.015947697510691153,0.6461119724247828,0.015947697510691153,,,12.88
16,0.01580578529845661,0.6476416213248148,0.01580578529845661,,,13.67
17,0.01568895273851691,0.6489826385037681,0.01568895273851691,,,14.46
18,0.015525869810754196,0.651534396505116,0.015525869810754196,,,15.24
19,0.015374643479628226,0.6523926714504448,0.015374643479628226,,,16.03
