run_id,user,session_file,bin,method,n_candidates_kept,pearson
,G,231019_userG_tripod_01_0.csv,26,phase,129,0.8637861577409254
,G,231019_userG_tripod_01_1.csv,26,phase,116,0.9566543248256634
,G,231019_userG_tripod_01_2.csv,27,phase,122,0.9790215651387464
,G,231019_userG_tripod_01_3.csv,28,phase,118,0.9483772406756243
,G,231019_userG_tripod_01_4.csv,27,phase,139,0.9879410591077261
,G,231019_userG_tripod_01_5.csv,27,phase,118,0.9754658119485375
,G,231019_userG_tripod_01_6.csv,23,abs,120,0.9715275657732784
,G,231019_userG_tripod_01_7.csv,26,phase,114,0.8986884265514514
,G,231026_userG_tripod_01_1.csv,49,phase,126,0.9200460000710164
,G,231026_userG_tripod_01_2.csv,49,phase,119,0.9723852819894335
,G,231026_userG_tripod_01_3.csv,49,phase,102,0.950372171555483
,G,231026_userG_tripod_01_4.csv,48,phase,99,0.9687360742435528
,G,231026_userG_tripod_01_5.csv,29,phase,112,0.9569615678627567
,G,231026_userG_tripod_01_6.csv,49,phase,123,0.9640179368918049
,G,231026_userG_tripod_01_7.csv,49,phase,115,0.9597783450173459
,G,231026_userG_tripod_02_1.csv,49,phase,116,0.9741275851491672
,G,231026_userG_tripod_02_2.csv,50,phase,103,0.9822693485037136
,G,231026_userG_tripod_02_3.csv,27,phase,105,0.945558660617151
,G,231026_userG_tripod_02_4.csv,48,phase,117,0.9566623529320745
,G,231026_userG_tripod_02_5.csv,27,phase,129,0.9808289167619412
,G,231026_userG_tripod_02_6.csv,48,phase,109,0.9575234356722694
,G,231026_userG_tripod_02_7.csv,50,phase,135,0.9788327103613601
,G,240403_userG_tripod_01_0.csv,51,phase,137,0.9098414075165983
,G,240403_userG_tripod_01_1.csv,23,abs,119,0.9091476565760372
,G,240403_userG_tripod_01_2.csv,25,phase,125,0.9299816254111695
,G,240403_userG_tripod_01_3.csv,25,phase,113,0.9471131011835001
,G,240403_userG_tripod_01_4.csv,24,abs,130,0.9588445707966632
,G,240403_userG_tripod_01_5.csv,25,phase,120,0.9582389433051113
,G,240403_userG_tripod_01_6.csv,26,phase,116,0.9378368621885564
,G,240403_userG_tripod_01_7.csv,24,abs,128,0.9738428292138058
,G,240403_userG_tripod_02_0.csv,64,abs,135,0.9004308530905684
,G,240403_userG_tripod_02_1.csv,64,abs,131,0.9353003142557538
,G,240403_userG_tripod_02_2.csv,28,abs,123,0.9440315170431458
,G,240403_userG_tripod_02_3.csv,28,abs,103,0.9568832189506125
,G,240403_userG_tripod_02_4.csv,48,abs,121,0.9185627722510017
,G,240403_userG_tripod_02_5.csv,24,phase,119,0.8910547836460874
,G,240403_userG_tripod_02_6.csv,24,phase,109,0.8927969368851254
,G,240403_userG_tripod_02_7.csv,24,phase,99,0.8789579303864818
,G,240403_userG_tripod_03_0.csv,49,abs,115,0.8728658561008636
,G,240403_userG_tripod_03_1.csv,49,abs,123,0.9466915862691213
,G,240403_userG_tripod_03_2.csv,23,phase,108,0.9438100399973476
,G,240403_userG_tripod_03_3.csv,24,phase,105,0.9347619827249746
,G,240403_userG_tripod_03_4.csv,23,phase,109,0.9528589416817056
,G,240403_userG_tripod_03_5.csv,24,phase,106,0.8815350786150357
,G,240403_userG_tripod_03_6.csv,24,phase,111,0.9602788912325884
,G,240403_userG_tripod_03_7.csv,24,phase,116,0.9610132626683211
,G,240403_userG_tripod_04_0.csv,28,phase,127,0.8588022184103102
,G,240403_userG_tripod_04_1.csv,29,phase,130,0.9316453444603843
,G,240403_userG_tripod_04_2.csv,26,abs,125,0.9668405396178706
,G,240403_userG_tripod_04_3.csv,28,abs,124,0.9573023714719415
,G,240403_userG_tripod_04_4.csv,29,abs,108,0.9854567202786486
,G,240403_userG_tripod_04_5.csv,50,phase,117,0.92206370797678
,G,240403_userG_tripod_04_6.csv,50,phase,109,0.9309557178740561
,G,240403_userG_tripod_04_7.csv,50,phase,98,0.9427033644688672
,G,240403_userG_tripod_05_0.csv,27,abs,131,0.7408255752054986
,G,240403_userG_tripod_05_1.csv,26,abs,128,0.9147631430766131
,G,240403_userG_tripod_05_2.csv,26,abs,120,0.9651116248199056
,G,240403_userG_tripod_05_3.csv,26,abs,118,0.8437419303217615
,G,240403_userG_tripod_05_4.csv,28,abs,123,0.9492963943896608
,G,240403_userG_tripod_05_5.csv,28,abs,106,0.9655597478994706
,G,240403_userG_tripod_05_6.csv,28,abs,141,0.9630440052587451
,G,240403_userG_tripod_05_7.csv,28,abs,130,0.9384985586221938
,G,240409_userG_tripod_01_0.csv,26,abs,116,0.9545602084056233
,G,240409_userG_tripod_01_1.csv,25,abs,132,0.9227567828522645
,G,240409_userG_tripod_01_2.csv,45,abs,142,0.9519365459841839
,G,240409_userG_tripod_01_3.csv,45,abs,124,0.9323240657583465
,G,240409_userG_tripod_01_4.csv,25,phase,138,0.933409949972313
,G,240409_userG_tripod_01_5.csv,25,phase,116,0.9575415606472278
,G,240409_userG_tripod_01_6.csv,26,phase,144,0.9583905545102331
,G,240409_userG_tripod_01_7.csv,26,phase,128,0.9664071568836108
,G,240409_userG_tripod_02_0.csv,24,phase,126,0.5268935489357927
,G,240409_userG_tripod_02_1.csv,24,phase,148,0.8854653065803364
,G,240409_userG_tripod_02_2.csv,24,phase,150,0.9465295273327884
,G,240409_userG_tripod_02_3.csv,24,phase,142,0.970739340589366
,G,240409_userG_tripod_02_4.csv,24,phase,167,0.9508758956123353
,G,240409_userG_tripod_02_5.csv,26,abs,138,0.9731397956247692
,G,240409_userG_tripod_02_6.csv,25,abs,164,0.9823023314691841
,G,240409_userG_tripod_02_7.csv,25,abs,156,0.932808111467057
,G,240409_userG_tripod_03_0.csv,49,abs,126,0.819326591673281
,G,240409_userG_tripod_03_1.csv,28,phase,132,0.9122328534791538
,G,240409_userG_tripod_03_2.csv,44,abs,134,0.9073655134395615
,G,240409_userG_tripod_03_3.csv,25,phase,134,0.9166553161852574
,G,240409_userG_tripod_03_4.csv,27,abs,111,0.5646298778779134
,G,240409_userG_tripod_03_5.csv,27,phase,124,0.9423542979745001
,G,240409_userG_tripod_03_6.csv,45,abs,125,0.9233482622704527
,G,240409_userG_tripod_03_7.csv,27,abs,150,0.9093231405725429
,G,240409_userG_tripod_04_0.csv,27,abs,159,0.8667988670074139
,G,240409_userG_tripod_04_1.csv,49,abs,128,0.8930803062810642
,G,240409_userG_tripod_04_2.csv,26,abs,157,0.6847831973043934
,G,240409_userG_tripod_04_3.csv,26,abs,139,0.8786800077280639
,G,240409_userG_tripod_04_4.csv,49,abs,140,0.6912121405448829
,G,240409_userG_tripod_04_5.csv,28,phase,130,0.8770356985434664
,G,240409_userG_tripod_04_6.csv,25,abs,134,0.8548353287043771
,G,240409_userG_tripod_04_7.csv,27,abs,128,0.7768643354797494
,G,240409_userG_tripod_05_0.csv,24,phase,122,0.9194182386463933
,G,240409_userG_tripod_05_1.csv,24,phase,121,0.9544010833130785
,G,240409_userG_tripod_05_2.csv,24,phase,129,0.913734220701174
,G,240409_userG_tripod_05_3.csv,24,phase,140,0.9270733096041432
,G,240409_userG_tripod_05_4.csv,25,phase,119,0.9469875935294173
,G,240409_userG_tripod_05_5.csv,27,phase,130,0.9510566480890231
,G,240409_userG_tripod_05_6.csv,25,phase,119,0.9666762425923539
,G,240409_userG_tripod_05_7.csv,24,phase,137,0.9240875916169105
,G,240412_userG_tripod_01_0.csv,25,abs,115,0.9443478376859645
,G,240412_userG_tripod_01_1.csv,25,abs,146,0.9744419185878485
